2013-05-12 23:09:18,203 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2013-05-12 23:09:18,203 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2013-05-12 23:09:18,218 [Worker-21] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-05-12 23:09:33,288 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2013-05-12 23:09:33,288 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2013-05-12 23:09:33,304 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2013-05-12 23:09:33,304 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-05-12 23:09:42,399 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2013-05-12 23:09:42,399 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2013-05-12 23:09:42,399 [Worker-17] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2013-05-12 23:09:42,399 [Worker-17] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-05-12 23:09:45,487 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2013-05-12 23:09:45,487 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2013-05-12 23:09:45,487 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2013-05-12 23:09:45,487 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-05-12 23:09:47,983 [Worker-21] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\public\workspace\fhbay-beans-client
2013-05-12 23:09:47,983 [Worker-21] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B -s D:\Users\Florian\.m2\settings.xml -q exec:java
2013-05-12 23:10:25,838 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2013-05-12 23:10:25,854 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2013-05-12 23:10:25,854 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2013-05-12 23:10:25,854 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-05-12 23:11:36,475 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2013-05-12 23:11:36,491 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2013-05-12 23:11:36,491 [Worker-15] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2013-05-12 23:11:36,491 [Worker-15] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-05-12 23:12:08,361 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
